Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1375001,-,Heilongjiang,China,46.05,124.82,8,135,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,30,-26.700000000000003,0,0,0,0,-29,0,0,0,0,0.37,80.48,155.20000000000002,0.87,1010,0.2,311,2.8000000000000003
2020,1,1,1,30,-26.900000000000002,0,0,0,0,-29.5,0,0,0,0,0.371,78.72,148.58,0.87,1011,0.2,312,2.8000000000000003
2020,1,1,2,30,-27.200000000000003,0,0,0,0,-29.8,0,0,0,0,0.37,78.32000000000001,139.46,0.87,1011,0.2,310,2.7
2020,1,1,3,30,-27.400000000000002,0,0,0,0,-30.1,0,0,0,0,0.368,78.08,129.35,0.87,1011,0.2,306,2.6
2020,1,1,4,30,-27.5,0,0,0,0,-30.200000000000003,0,0,0,0,0.368,77.72,118.96000000000001,0.87,1011,0.2,301,2.6
2020,1,1,5,30,-27.6,0,0,0,0,-30.3,0,0,0,0,0.37,77.67,108.69,0.87,1012,0.2,295,2.6
2020,1,1,6,30,-27.700000000000003,0,0,0,0,-30.400000000000002,0,0,0,0,0.373,77.44,98.87,0.87,1012,0.2,291,2.6
2020,1,1,7,30,-27.700000000000003,7,88,8,0,-30.5,7,88,0,8,0.374,76.89,89.28,0.87,1013,0.2,289,2.7
2020,1,1,8,30,-23.900000000000002,42,598,128,0,-29.5,42,598,0,128,0.378,59.84,81.74,0.87,1013,0.2,285,2.9000000000000004
2020,1,1,9,30,-20.3,61,768,255,0,-26.200000000000003,61,768,0,255,0.38,59.120000000000005,75.4,0.87,1013,0.2,283,3.5
2020,1,1,10,30,-17.6,72,842,345,0,-23.700000000000003,72,842,33,345,0.38,59.050000000000004,71.05,0.87,1013,0.2,285,3.8000000000000003
2020,1,1,11,30,-15.8,77,884,392,0,-21.900000000000002,77,884,0,392,0.382,59.64,69.11,0.87,1013,0.1,289,3.7
2020,1,1,12,30,-14.8,76,856,371,0,-20.8,76,856,0,371,0.384,60.39,69.82000000000001,0.87,1012,0.2,289,3.5
2020,1,1,13,30,-14.700000000000001,69,797,301,0,-20.1,69,797,0,301,0.386,63.49,73.09,0.87,1012,0.2,285,2.8000000000000003
