Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1547858,-,Heilongjiang,China,47.33,130.3,8,171,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2011,1,1,0,30,-14.5,0,0,0,7,-16.8,0,0,0,0,0.425,82.53,152.16,0.87,999,0.5,300,1.1
2011,1,1,1,30,-14.200000000000001,0,0,0,7,-16.8,0,0,25,0,0.426,80.89,144.76,0.87,1000,0.5,299,1.1
2011,1,1,2,30,-14,0,0,0,7,-16.7,0,0,0,0,0.428,80.32000000000001,135.49,0.87,1000,0.5,298,1.2000000000000002
2011,1,1,3,30,-13.9,0,0,0,7,-16.6,0,0,0,0,0.43,79.85000000000001,125.49000000000001,0.87,1000,0.5,297,1.3
2011,1,1,4,30,-13.9,0,0,0,7,-16.7,0,0,0,0,0.432,79.67,115.34,0.87,1000,0.5,296,1.3
2011,1,1,5,30,-14,0,0,0,7,-16.7,0,0,0,0,0.433,79.87,105.42,0.87,1000,0.4,295,1.3
2011,1,1,6,30,-14,0,0,0,7,-16.900000000000002,0,0,0,0,0.434,78.89,96.05,0.87,1000,0.4,295,1.4000000000000001
2011,1,1,7,30,-14,24,66,27,7,-17,24,66,100,27,0.433,78.31,87.27,0.87,1000,0.4,296,1.4000000000000001
2011,1,1,8,30,-14.100000000000001,68,443,143,0,-16.7,68,443,0,143,0.366,80.77,80.21000000000001,0.87,1004,0.4,350,2.4000000000000004
2011,1,1,9,30,-13.4,92,600,251,0,-16,92,600,0,251,0.365,80.48,74.69,0.87,1004,0.4,348,2.3000000000000003
