Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1342467,-,Heilongjiang,China,47.17,123.82,8,145,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,-16.3,0,0,0,3,-18.7,0,0,0,0,0.395,81.56,154.46,0.87,1003,0.5,185,3
2014,1,1,1,30,-16.2,0,0,0,6,-18.3,0,0,0,0,0.397,83.86,148.39000000000001,0.87,1003,0.6000000000000001,183,3.1
2014,1,1,2,30,-16.400000000000002,0,0,0,6,-18.3,0,0,0,0,0.398,85.07000000000001,139.68,0.87,1002,0.6000000000000001,187,2.8000000000000003
2014,1,1,3,30,-16.8,0,0,0,6,-18.6,0,0,0,0,0.399,85.72,129.87,0.87,1001,0.5,196,2.2
2014,1,1,4,30,-17.1,0,0,0,6,-19.1,0,0,0,0,0.399,84.45,119.7,0.87,1001,0.5,213,1.7000000000000002
2014,1,1,5,30,-17.400000000000002,0,0,0,6,-19.400000000000002,0,0,0,0,0.399,84.22,109.62,0.87,1000,0.5,235,1.3
2014,1,1,6,30,-17.6,0,0,0,6,-19.700000000000003,0,0,0,0,0.401,83.94,99.95,0.87,1000,0.5,265,1.2000000000000002
2014,1,1,7,30,-17.6,0,0,0,6,-19.8,0,0,0,0,0.402,83.05,91,0.87,1000,0.5,281,1.2000000000000002
2014,1,1,8,30,-15.100000000000001,57,294,92,0,-19.1,57,294,0,92,0.457,71.74,83.01,0.87,988,0.2,330,2.5
2014,1,1,9,30,-13.700000000000001,97,492,211,0,-18.5,97,492,0,211,0.455,67.11,76.7,0.87,988,0.2,333,3.2
2014,1,1,10,30,-12.600000000000001,121,591,300,0,-18.2,121,591,0,300,0.452,62.99,72.31,0.87,989,0.2,335,3.8000000000000003
2014,1,1,11,30,-11.9,138,599,341,0,-17.900000000000002,138,599,0,341,0.448,60.94,70.25,0.87,989,0.2,337,4.1000000000000005
2014,1,1,12,30,-11.5,135,594,331,0,-17.7,135,594,0,331,0.444,59.95,70.76,0.87,990,0.2,337,4.2
