Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1446607,-,Heilongjiang,China,46.65,126.98,8,178,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2017,1,1,0,30,-18.3,0,0,0,4,-19.8,0,0,0,0,0.355,88.08,153.94,0.87,1000,0.30000000000000004,209,1.3
2017,1,1,1,30,-19.1,0,0,0,4,-20.700000000000003,0,0,0,0,0.35000000000000003,86.9,147.02,0.87,999,0.30000000000000004,193,1.3
2017,1,1,2,30,-19.900000000000002,0,0,0,4,-21.700000000000003,0,0,0,0,0.34600000000000003,85.65,137.86,0.87,999,0.30000000000000004,182,1.4000000000000001
2017,1,1,3,30,-20.400000000000002,0,0,0,4,-22.6,0,0,0,0,0.34400000000000003,82.88,127.81,0.87,999,0.30000000000000004,182,1.6
2017,1,1,4,30,-20.6,0,0,0,4,-22.900000000000002,0,0,0,0,0.34900000000000003,81.74,117.53,0.87,999,0.30000000000000004,187,1.7000000000000002
2017,1,1,5,30,-20.700000000000003,0,0,0,4,-23,0,0,0,0,0.358,81.77,107.41,0.87,999,0.30000000000000004,193,1.7000000000000002
2017,1,1,6,30,-20.6,0,0,0,4,-23,0,0,0,0,0.367,81.12,97.77,0.87,999,0.4,197,1.6
2017,1,1,7,30,-20.6,7,9,7,4,-22.900000000000002,7,9,83,7,0.37,82.11,88.53,0.87,999,0.4,198,1.6
2017,1,1,8,30,-18.3,74,158,98,4,-21.700000000000003,59,47,100,66,0.376,74.93,81.15,0.87,999,0.4,208,2
2017,1,1,9,30,-16.7,127,324,210,4,-19.6,103,121,42,134,0.381,78.3,75.13,0.87,999,0.4,214,2.4000000000000004
2017,1,1,10,30,-15.600000000000001,150,441,293,4,-18.400000000000002,133,287,58,226,0.383,78.98,71.14,0.87,998,0.4,214,2.1
2017,1,1,11,30,-14.700000000000001,153,499,327,4,-17.400000000000002,129,210,8,202,0.384,80.02,69.59,0.87,997,0.4,212,1.6
2017,1,1,12,30,-14.100000000000001,139,503,306,7,-16.5,88,92,0,118,0.386,81.71000000000001,70.66,0.87,997,0.4,205,1.1
2017,1,1,13,30,-13.8,116,443,237,7,-16.1,103,83,42,126,0.392,83.07000000000001,74.21000000000001,0.87,996,0.4,197,0.9
2017,1,1,14,30,-13.8,78,300,131,7,-15.9,62,63,83,73,0.405,84.45,79.89,0.87,996,0.4,201,0.6000000000000001
