Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1510551,-,Heilongjiang,China,47.05,129.02,8,281,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2016,1,1,0,30,-26,0,0,0,8,-29.900000000000002,0,0,0,0,0.372,69.47,152.9,0.87,996,0.1,269,0.8
2016,1,1,1,30,-25.900000000000002,0,0,0,0,-30.1,0,0,0,0,0.375,67.95,145.64000000000001,0.87,996,0.1,267,0.8
2016,1,1,2,30,-25.700000000000003,0,0,0,7,-30,0,0,0,0,0.377,67.28,136.39000000000001,0.87,996,0.1,266,0.9
2016,1,1,3,30,-25.700000000000003,0,0,0,7,-29.8,0,0,33,0,0.381,68.31,126.36,0.87,996,0.1,264,1
2016,1,1,4,30,-25.8,0,0,0,7,-29.900000000000002,0,0,0,0,0.384,68.33,116.16,0.87,996,0.1,263,1
2016,1,1,5,30,-25.900000000000002,0,0,0,7,-30.1,0,0,0,0,0.386,67.53,106.16,0.87,997,0.1,262,1
2016,1,1,6,30,-26,0,0,0,7,-30.3,0,0,0,0,0.389,67.28,96.68,0.87,997,0.1,263,1.1
2016,1,1,7,30,-26.1,19,278,30,7,-30.5,18,211,67,26,0.39,66.72,87.73,0.87,997,0.1,264,1.1
2016,1,1,8,30,-13.4,72,286,119,7,-17.8,53,0,100,53,0.404,69.26,80.54,0.87,995,0.5,194,0.6000000000000001
2016,1,1,9,30,-11.700000000000001,128,332,215,7,-15.9,88,2,33,89,0.404,70.77,74.84,0.87,995,0.6000000000000001,192,0.7000000000000001
